Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10863","","","None","192.168.42.129","tcp","389","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: localhost

Issuer Name: 

Common Name: localhost

Serial Number: 00 B6 97 AC 9E 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Nov 23 03:00:19 2020 GMT
Not Valid After: Nov 23 03:00:19 2021 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 D4 39 17 26 D0 58 D2 23 18 EF 67 5B 75 58 78 FE F6 A8 C1 
            FF 1F 94 90 08 B3 3D 84 D4 89 CB F6 67 19 FD AD 1D E3 6D 6C 
            D8 4B 7D 6B A3 C8 41 6F 28 44 F5 2F BA 3B E2 4B 5B 9B DB C3 
            D4 E3 45 3A 12 D6 D7 9C BF 48 DD 0E 01 29 85 0B 5E D6 DF 3F 
            8A DB 93 87 CC 7E 5F 8F C5 86 C8 68 92 4C 81 C1 1A 14 55 56 
            DA 66 16 C4 F5 80 F2 AA 35 92 F9 02 51 D9 DF 18 65 30 C7 9B 
            1C D0 8C 17 BD 4C CD 60 37 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 05 63 E0 0C 11 06 9F 5D D0 F8 64 5F 46 8D CA D1 E4 A6 A4 
           A6 2B 22 A4 D8 9F 69 65 86 89 A0 6A FD DA 34 42 1E 87 46 5C 
           5F F9 22 CE A8 A8 5B 15 F3 E5 E3 1E 6D 2F DB AB 09 AB 92 B7 
           CE 3F 77 C5 AB F7 5A 86 6A C3 84 81 E1 E5 3E DF 94 C4 D2 47 
           CA 97 FE 02 C2 57 7C 67 20 75 D5 6C 4B B5 1C 7E 1E 17 14 F0 
           A8 A2 53 01 F8 66 52 EF 9B 78 1B D0 C5 00 F0 BE 70 4F C0 61 
           E1 34 4F C3 3E EE EF 4B 3A 

Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: localhost
DNS: localhost
DNS: localhost.localdomain


Fingerprints : 

SHA-256 Fingerprint: 25 87 E4 86 7D C2 6A 40 EA ED E5 C9 7E CF 21 5F D4 08 3B CA 
                     F3 F8 E9 14 23 3B 73 39 C9 A8 5E 78 
SHA-1 Fingerprint: E5 66 25 37 BF 48 D8 9E E8 F5 05 B6 73 8E 13 44 AA 27 98 2E 
MD5 Fingerprint: 57 EA 22 B1 4F 6F 76 68 58 B6 E9 A4 AD C1 E6 1D 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIB3DCCAUWgAwIBAgIFALaXrJ4wDQYJKoZIhvcNAQELBQAwFDESMBAGA1UEAxMJbG9jYWxob3N0MB4XDTIwMTEyMzAzMDAxOVoXDTIxMTEyMzAzMDAxOVowFDESMBAGA1UEAxMJbG9jYWxob3N0MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDUORcm0FjSIxjvZ1t1WHj+9qjB/x+UkAizPYTUicv2Zxn9rR3jbWzYS31ro8hBbyhE9S+6O+JLW5vbw9TjRToS1tecv0jdDgEphQte1t8/ituTh8x+X4/FhshokkyBwRoUVVbaZhbE9YDyqjWS+QJR2d8YZTDHmxzQjBe9TM1gNwIDAQABozowODA2BgNVHREELzAtgglsb2NhbGhvc3SCCWxvY2FsaG9zdIIVbG9jYWxob3N0LmxvY2FsZG9tYWluMA0GCSqGSIb3DQEBCwUAA4GBAAVj4AwRBp9d0PhkX0aNytHkpqSmKyKk2J9pZYaJoGr92jRCHodGXF/5Is6oqFsV8+XjHm0v26sJq5K3zj93xav3WoZqw4SB4eU+35TE0kfKl/4Cwld8ZyB11WxLtRx+HhcU8KiiUwH4ZlLvm3gb0MUA8L5wT8Bh4TRPwz7u70s6
-----END CERTIFICATE-----"
"10863","","","None","192.168.42.129","tcp","8834","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Organization: Nessus Users United
Organization Unit: Nessus Server
Locality: New York
Country: US
State/Province: NY
Common Name: localhost.localdomain

Issuer Name: 

Organization: Nessus Users United
Organization Unit: Nessus Certification Authority
Locality: New York
Country: US
State/Province: NY
Common Name: Nessus Certification Authority

Serial Number: 00 B3 CF 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 22 06:18:08 2020 GMT
Not Valid After: Sep 21 06:18:08 2024 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 CC A2 0E F8 1C 11 1E 9B 41 01 3A 5A 43 AD BE B8 EF 0B F7 
            CD F3 20 B0 72 5E DD 22 51 2B 9A E4 28 38 46 A2 C5 57 A5 3A 
            64 F3 C8 9A 45 59 3A 09 7C 8C 7C 22 CA 3D FE 15 EF DB F4 3E 
            AA 69 17 5F CE F2 2F 3D 79 54 32 EF 07 77 36 95 AE 9B A8 5C 
            1D F9 83 09 94 4A 38 39 E7 B4 AB E7 7D 58 6D 91 CB 1C 60 5F 
            97 10 ED C4 28 E5 E3 1E AC 08 49 75 E0 E0 3A 99 DC 72 AE 4E 
            CE A3 DA EA 4F D7 F2 AB 8B 7A FF A7 3A D0 68 8F 0C 60 63 CE 
            3F 1F 21 4C 7A ED 7F FA 70 8B B5 E5 37 A3 67 35 04 4A 52 AE 
            F6 7F 48 C2 28 79 E1 28 30 5C 72 2B 81 7D AC E7 2A 99 60 5C 
            5F 67 AD F1 63 CA 5B 6F F0 B1 0B AC D2 A5 A2 4C 02 21 D6 79 
            F2 0A 84 59 FC CF 8D 9D 92 75 37 DC B4 A6 83 B4 C9 62 E3 44 
            21 81 77 D2 A4 47 06 6C AA 5D 9F 19 CD EE A2 36 AE 4A 5E 6D 
            F9 EE C0 E8 2F 0B AB AA 2B C1 71 B0 83 F8 4B 72 35 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 88 AB 23 C1 44 C5 51 62 1B 49 73 52 3D 0C 88 18 68 7E 06 
           DD 82 55 26 7A E2 71 EE E4 81 AA 81 DD A4 BF D7 EE CA B0 5A 
           9B F3 11 E8 72 83 DC 47 87 DB 8A 46 CE DD FD 64 4D 6F 6E 0C 
           0C D8 75 8A 92 D5 05 DE AB 9C ED 5D 34 37 6D 68 BA 94 8A D7 
           E4 03 A6 AA 08 97 5D 56 AE 1C 37 8A 63 32 38 0C C6 F6 99 8B 
           ED E5 6A 83 B2 BF E4 41 06 86 41 D5 BD 24 4E A3 1E 4B 41 FB 
           05 A8 64 EA 97 9F 86 07 97 F3 23 0D FE 98 85 6C 95 B1 95 93 
           93 A2 75 8C 42 D3 D9 AD 16 4C 6C 93 D5 E9 DE 10 4A AB 89 F1 
           60 4C A7 57 70 73 3B CA 25 BD 30 22 34 46 8A EA 32 16 96 F8 
           BA 83 69 08 3D 7F 28 0F 62 75 30 BB 88 ED 87 5A 74 0E BA 31 
           40 02 BC A5 AF E9 1F 27 18 12 4C 9D 09 D8 28 DA 63 A1 99 C0 
           57 F8 10 7F A8 96 02 AE 44 09 8A 4B B2 B3 DD B6 7C 2B 59 33 
           3E 16 37 88 71 3B 93 70 AE 13 9A 52 61 9A 0A 56 1C 

Extension: 2.16.840.1.113730.1.1
Critical: 0
Data: 03 02 06 40 


Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Non Repudiation, Key Encipherment


Fingerprints : 

SHA-256 Fingerprint: 70 6B E1 76 08 9F 98 62 2F A9 F0 A2 F2 3C 53 E9 B2 79 78 27 
                     9A D9 A3 18 3D 54 F4 AC A0 5A 28 A4 
SHA-1 Fingerprint: 00 3F 95 04 13 AA 29 0B E2 32 8E 8D 94 CB C6 A0 EF D5 07 2C 
MD5 Fingerprint: 8E 3C A3 47 38 05 A8 81 A8 C1 B8 D1 91 E0 52 1E 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDxDCCAqygAwIBAgIDALPPMA0GCSqGSIb3DQEBCwUAMIGdMRwwGgYDVQQKDBNOZXNzdXMgVXNlcnMgVW5pdGVkMScwJQYDVQQLDB5OZXNzdXMgQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkxETAPBgNVBAcMCE5ldyBZb3JrMQswCQYDVQQGEwJVUzELMAkGA1UECAwCTlkxJzAlBgNVBAMMHk5lc3N1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTAeFw0yMDA5MjIwNjE4MDhaFw0yNDA5MjEwNjE4MDhaMIGDMRwwGgYDVQQKDBNOZXNzdXMgVXNlcnMgVW5pdGVkMRYwFAYDVQQLDA1OZXNzdXMgU2VydmVyMREwDwYDVQQHDAhOZXcgWW9yazELMAkGA1UEBhMCVVMxCzAJBgNVBAgMAk5ZMR4wHAYDVQQDDBVsb2NhbGhvc3QubG9jYWxkb21haW4wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDMog74HBEem0EBOlpDrb647wv3zfMgsHJe3SJRK5rkKDhGosVXpTpk88iaRVk6CXyMfCLKPf4V79v0PqppF1/O8i89eVQy7wd3NpWum6hcHfmDCZRKODnntKvnfVhtkcscYF+XEO3EKOXjHqwISXXg4DqZ3HKuTs6j2upP1/Kri3r/pzrQaI8MYGPOPx8hTHrtf/pwi7XlN6NnNQRKUq72f0jCKHnhKDBcciuBfaznKplgXF9nrfFjyltv8LELrNKlokwCIdZ58gqEWfzPjZ2SdTfctKaDtMli40QhgXfSpEcGbKpdnxnN7qI2rkpebfnuwOgvC6uqK8FxsIP4S3I1AgMBAAGjJTAjMBEGCWCGSAGG+EIBAQQEAwIGQDAOBgNVHQ8BAf8EBAMCBeAwDQYJKoZIhvcNAQELBQADggEBAIirI8FExVFiG0lzUj0MiBhofgbdglUmeuJx7uSBqoHdpL/X7sqwWpvzEehyg9xHh9uKRs7d/WRNb24MDNh1ipLVBd6rnO1dNDdtaLqUitfkA6aqCJddVq4cN4pjMjgMxvaZi+3laoOyv+RBBoZB1b0kTqMeS0H7Bahk6pefhgeX8yMN/piFbJWxlZOTonWMQtPZrRZMbJPV6d4QSquJ8WBMp1dwczvKJb0wIjRGiuoyFpb4uoNpCD1/KA9idTC7iO2HWnQOujFAArylr+kfJxgSTJ0J2CjaY6GZwFf4EH+olgKuRAmKS7Kz3bZ8K1kzPhY3iHE7k3CuE5pSYZoKVhw=
-----END CERTIFICATE-----"
"10881","","","None","192.168.42.129","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
"
"11111","","","None","192.168.42.129","tcp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
"
"11111","","","None","192.168.42.129","udp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
"
"11936","","","None","192.168.42.129","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 3.10.0-957.el7.x86_64 on CentOS Linux release 7.6.1810 (Core)
Confidence level : 100
Method : LinuxDistribution

 
The remote host is running Linux Kernel 3.10.0-957.el7.x86_64 on CentOS Linux release 7.6.1810 (Core)"
"12053","","","None","192.168.42.129","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
192.168.42.129 resolves as localhost.localdomain.
"
"14272","","","None","192.168.42.129","tcp","22","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 22/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","53","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 53/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","111","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 111/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","389","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 389/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","3306","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 3306/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","3307","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 3307/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","6000","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 6000/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","6379","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 6379/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","8000","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8000/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","8001","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8001/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","8834","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8834/tcp was found to be open"
"14272","","","None","192.168.42.129","tcp","8888","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8888/tcp was found to be open"
"14272","","","None","192.168.42.129","udp","53","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 53/udp was found to be open"
"14272","","","None","192.168.42.129","udp","67","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 67/udp was found to be open"
"14272","","","None","192.168.42.129","udp","68","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 68/udp was found to be open"
"14272","","","None","192.168.42.129","udp","111","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 111/udp was found to be open"
"14272","","","None","192.168.42.129","udp","634","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 634/udp was found to be open"
"14272","","","None","192.168.42.129","udp","5353","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 5353/udp was found to be open"
"14272","","","None","192.168.42.129","udp","44815","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 44815/udp was found to be open"
"17975","","","None","192.168.42.129","tcp","6379","Service Detection (GET request)","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","The remote service appears to be a Redis server, an open source,
persistent key-value data store."
"19506","","","None","192.168.42.129","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 8.11.1
Plugin feed version : 202103032131
Scanner edition used : Nessus

ERROR: Your plugins have not been updated since 2021/3/3
Performing a scan with an older plugin set will yield out-of-date results and
produce an incomplete audit. Please run nessus-update-plugins to get the
newest vulnerability checks from Nessus.org.

Scan type : Normal
Scan policy used : Advanced Scan
Scanner IP : 192.168.42.129
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : yes (on the localhost)
Attempt Least Privilege : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 5
Recv timeout : 5
Backports : Detected
Allow post-scan editing: Yes
Scan Start Date : 2021/5/27 9:07 CST
Scan duration : 375 sec
"
"20007","","7.1","High","192.168.42.129","tcp","389","SSL Version 2 and 3 Protocol Detection","The remote service encrypts traffic using a protocol with known
weaknesses.","The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1
    CAMELLIA128-SHA                                RSA           RSA      Camellia-CBC(128)      SHA1
    CAMELLIA256-SHA                                RSA           RSA      Camellia-CBC(256)      SHA1
    IDEA-CBC-SHA                                   RSA           RSA      IDEA-CBC(128)          SHA1
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1
    SEED-SHA                                       RSA           RSA      SEED-CBC(128)          SHA1
    RSA-AES128-SHA256                              RSA           RSA      AES-CBC(128)           SHA256
    RSA-AES256-SHA256                              RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
"
"20094","","","None","192.168.42.129","tcp","0","VMware Virtual Machine Detection","The remote host is a VMware virtual machine.","According to the MAC address of its network adapter, the remote host
is a VMware virtual machine.","Since it is physically accessible through the network, ensure that its
configuration matches your organization's security policy.","","
The remote host is a VMware virtual machine.
"
"20870","","","None","192.168.42.129","tcp","389","LDAP Server Detection","An LDAP server was detected on the remote host.","The remote host is running a Lightweight Directory Access Protocol
(LDAP) server. LDAP is a protocol for providing access to directory
services over TCP/IP.","n/a","https://en.wikipedia.org/wiki/LDAP",""
